code,term
1186728004,Pediatric multiple sclerosis
1231202004,Optic neuritis due to demyelinating disease of central nervous system
1231232007,Intermediate uveitis associated with multiple sclerosis
1231659007,Retrobulbar optic neuritis due to multiple sclerosis
1259083006,Disorder of autonomic nervous system due to multiple sclerosis
1260384002,Hemichorea due to multiple sclerosis
134519007,Other drugs used for the treatment of multiple sclerosis
155023009,Multiple sclerosis
155057001,Spinal demyelination
16092000,Cord multiple sclerosis
166411000000100,Specialised services for patients with multiple sclerosis enhanced services administration
171451000000101,Specialised services for patients with multiple sclerosis - enhanced services administration
176111000000101,Specialised services for patients with multiple sclerosis - enhanced services administration
18353007,Brain stem multiple sclerosis
192926004,Multiple sclerosis of the brainstem
192927008,Multiple sclerosis of the spinal cord
192928003,Generalized multiple sclerosis
192929006,Exacerbation of multiple sclerosis
192930001,Multiple sclerosis NOS
192931002,Other central nervous system demyelinating diseases
192935006,Other specified central nervous system demyelinating disease
192936007,Central demyelination of corpus callosum
192939000,Other specified central nervous system demyelination NOS
194485009,[X]Demyelinating diseases of the central nervous system
194486005,[X]Other specified acute disseminated demyelination
194487001,[X]Other specified demyelinating diseases of the central nervous system
198491000000106,Multiple sclerosis review
198881000000107,Multiple sclerosis care plan agreed
205631000000104,Multiple sclerosis multidisciplinary review
207281000000107,Multiple sclerosis care plan agreed
207291000000109,Multiple sclerosis care plan agreed
213621000000100,Multiple sclerosis review
213631000000103,Multiple sclerosis review
213641000000107,Multiple sclerosis multidisciplinary review
213651000000105,Multiple sclerosis multidisciplinary review
230372003,Acute relapsing multiple sclerosis
230373008,Chronic progressive multiple sclerosis
230374002,Remittent-progressive multiple sclerosis
24700007,Multiple sclerosis
308634000,Spinal demyelination
32693004,Demyelination
343541000000109,Benign multiple sclerosis
343571000000103,Malignant multiple sclerosis
343581000000101,Primary progressive multiple sclerosis
343591000000104,Relapsing and remitting multiple sclerosis
343601000000105,Secondary progressive multiple sclerosis
368781000000109,Benign multiple sclerosis 
368791000000106,Malignant multiple sclerosis 
368801000000105,Primary progressive multiple sclerosis 
368811000000107,Relapsing and remitting multiple sclerosis 
368821000000101,Secondary progressive multiple sclerosis 
414111000000103,[X]Demyelinating diseases of the central nervous system
419241000000106,[X]Other specified acute disseminated demyelination
425500002,Secondary progressive multiple sclerosis
426373005,Relapsing remitting multiple sclerosis
428700003,Primary progressive multiple sclerosis
431641000000100,[X]Other specified demyelinating diseases of the central nervous system
438511000,Benign multiple sclerosis
439567002,Malignant multiple sclerosis
584931000000102,Other specified central nervous system demyelination NOS
586591000000100,Multiple sclerosis NOS
6118003,Demyelinating disease of central nervous system
692451000000104,Other central nervous system demyelinating diseases
692461000000101,Other specified central nervous system demyelinating disease
698626001,Dementia associated with multiple sclerosis
71525001,Primary demyelination
724778008,Progressive relapsing multiple sclerosis
733028000,"Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome"
766246000,Marburg acute multiple sclerosis
811881000000109,Multiple sclerosis care plan agreed
816984002,Progressive multiple sclerosis
82371000119101,Dementia due to multiple sclerosis with altered behavior
95649006,Demyelinating disease of the spinal cord
